Australia 1 (TCP),139.99.168.26 139.99.168.26 139.99.168.26 139.99.168.26 139.99.168.26 139.99.168.26 139.99.168.26,tcp,443 992 2460 3389 5005 5555 1194
Australia 1 (UDP),139.99.168.26 139.99.168.26 139.99.168.26 139.99.168.26 139.99.168.26 139.99.168.26 139.99.168.26,udp,443 992 2460 3389 5005 5555 1194
Canada 1 (TCP),167.114.129.116 167.114.129.116 167.114.129.116 167.114.129.116 167.114.129.116 167.114.129.116 167.114.129.116,tcp,443 992 2460 3389 5005 5555 1194
Canada 1 (UDP),167.114.129.116 167.114.129.116 167.114.129.116 167.114.129.116 167.114.129.116 167.114.129.116 167.114.129.116,udp,443 992 2460 3389 5005 5555 1194
Canada 2 (TCP),104.245.37.228 104.245.37.228 104.245.37.228 104.245.37.228 104.245.37.228 104.245.37.228 104.245.37.228,tcp,443 992 2460 3389 5005 5555 1194
Canada 2 (UDP),104.245.37.228 104.245.37.228 104.245.37.228 104.245.37.228 104.245.37.228 104.245.37.228 104.245.37.228,udp,443 992 2460 3389 5005 5555 1194
Germany 1 (TCP),46.165.221.130 46.165.221.130 46.165.221.130 46.165.221.130 46.165.221.130 46.165.221.130 46.165.221.130,tcp,443 992 2460 3389 5005 5555 1194
Germany 1 (UDP),46.165.221.130 46.165.221.130 46.165.221.130 46.165.221.130 46.165.221.130 46.165.221.130 46.165.221.130,udp,443 992 2460 3389 5005 5555 1194
Germany 2 (TCP),85.10.208.175 85.10.208.175 85.10.208.175 85.10.208.175 85.10.208.175 85.10.208.175 85.10.208.175,tcp,443 992 2460 3389 5005 5555 1194
Germany 2 (UDP),85.10.208.175 85.10.208.175 85.10.208.175 85.10.208.175 85.10.208.175 85.10.208.175 85.10.208.175,udp,443 992 2460 3389 5005 5555 1194
France 1 (TCP),212.83.172.67 212.83.172.67 212.83.172.67 212.83.172.67 212.83.172.67 212.83.172.67 212.83.172.67,tcp,443 992 2460 3389 5005 5555 1194
France 1 (UDP),212.83.172.67 212.83.172.67 212.83.172.67 212.83.172.67 212.83.172.67 212.83.172.67 212.83.172.67,udp,443 992 2460 3389 5005 5555 1194
Lithuania 1 (TCP),89.47.164.182 89.47.164.182 89.47.164.182 89.47.164.182 89.47.164.182 89.47.164.182 89.47.164.182,tcp,443 992 2460 3389 5005 5555 1194
Lithuania 1 (UDP),89.47.164.182 89.47.164.182 89.47.164.182 89.47.164.182 89.47.164.182 89.47.164.182 89.47.164.182,udp,443 992 2460 3389 5005 5555 1194
Luxembourg 1 (TCP),212.117.188.37 212.117.188.37 212.117.188.37 212.117.188.37 212.117.188.37 212.117.188.37 212.117.188.37,tcp,443 992 2460 3389 5005 5555 1194
Luxembourg 1 (UDP),212.117.188.37 212.117.188.37 212.117.188.37 212.117.188.37 212.117.188.37 212.117.188.37 212.117.188.37,udp,443 992 2460 3389 5005 5555 1194
