United Arab Emirates (UDP),45.9.249.34,udp,1195,
Albania (UDP),31.171.154.50,udp,1196,
Austria (UDP),146.70.116.226 146.70.116.194,udp,1197 1197,
Australia (UDP),146.70.200.130 103.214.20.146 103.214.20.162 103.108.229.98 103.216.220.50 103.108.229.82 146.70.200.66 103.108.231.82 103.108.231.98 103.216.220.66,udp,1301 1301 1301 1301 1301 1301 1301 1301 1301 1301,
Belgium (UDP),82.102.19.66 91.207.57.130,udp,1302 1302,
Bulgaria (UDP),146.70.188.2 146.70.188.66,udp,1301 1301,
Brazil (UDP),149.78.184.210,udp,1301,
Canada (UDP),37.120.237.66 198.54.132.66 38.240.226.100 198.54.132.34 178.249.214.206 45.133.182.194 38.240.226.132 178.249.214.193,udp,1196 1196 1196 1196 1196 1196 1196 1196,
Switzerland (UDP),193.32.127.83 146.70.134.162 193.32.127.84 146.70.134.130 193.32.127.81 81.17.16.66 193.32.127.82,udp,1300 1300 1300 1300 1300 1300 1300,
Czechia (UDP),146.70.129.194 146.70.129.162,udp,1302 1302,
Germany (UDP),185.213.155.66 146.70.117.98 185.213.155.71 193.32.248.74 185.213.155.72 193.32.248.73 185.213.155.69 146.70.117.66 193.32.248.72 185.213.155.67 185.213.155.70 193.32.248.75 185.213.155.68,udp,1302 1302 1302 1302 1302 1302 1302 1302 1302 1302 1302 1302 1302,
Denmark (UDP),141.98.254.71 146.70.197.2 45.129.56.81 146.70.197.66,udp,1302 1302 1302 1302,
Spain (UDP),146.70.74.98 146.70.128.162,udp,1302 1302,
Finland (UDP),185.204.1.172 185.204.1.175 185.204.1.174 185.204.1.173 193.138.7.237 185.204.1.176 185.212.149.201 185.204.1.171 193.138.7.217,udp,1194 1194 1194 1194 1194 1194 1194 1194 1194,
France (UDP),193.32.126.82 146.70.184.130 146.70.184.194 193.32.126.81 193.32.126.84 193.32.126.83,udp,1301 1301 1301 1301 1301 1301,
United Kingdom (UDP),185.195.232.85 146.70.119.98 141.98.252.132 146.70.132.34 141.98.252.131 146.70.132.98 146.70.132.66 146.70.119.162 146.70.119.130 141.98.252.133 141.98.252.138 185.195.232.86 146.70.132.2,udp,1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300 1300,
Greece (UDP),149.102.246.28 149.102.246.41,udp,1302 1302,
Hong Kong SAR China (UDP),89.45.6.50 103.125.233.33 103.125.233.48,udp,1195 1195 1195,
Hungary (UDP),146.70.196.66 146.70.196.2,udp,1194 1194,
Ireland (UDP),146.70.189.130 146.70.189.194,udp,1196 1196,
Italy (UDP),89.40.182.146 192.145.127.98 192.145.127.114 89.40.182.210,udp,1197 1197 1197 1197,
Japan (UDP),146.70.201.130 146.70.201.194,udp,1195 1195,
Luxembourg (UDP),92.223.89.160,udp,1300,
Latvia (UDP),31.170.22.2,udp,1196,
Moldova (UDP),178.175.142.194,udp,1301,
Netherlands (UDP),185.65.134.75 185.65.134.72 185.65.134.73 185.65.134.74 185.65.134.71 185.65.134.76,udp,1194 1194 1194 1194 1194 1194,
Norway (UDP),91.90.44.13 194.127.199.114 91.90.44.14 91.90.44.16 91.90.44.15 91.90.44.18 91.90.44.11 91.90.44.17 194.127.199.145 91.90.44.12,udp,1195 1195 1195 1195 1195 1195 1195 1195 1195 1195,
New Zealand (UDP),103.75.11.98 103.75.11.82,udp,1196 1196,
Poland (UDP),146.70.144.66 146.70.144.98,udp,1197 1197,
Romania (UDP),37.120.246.130 146.70.124.162,udp,1197 1197,
Serbia (UDP),146.70.193.194 146.70.193.130,udp,1196 1196,
Sweden (UDP),141.98.255.83 141.98.255.86 141.98.255.93 141.98.255.88 141.98.255.87 185.213.154.132 185.65.135.80 185.65.135.83 185.213.154.131 141.98.255.89 185.213.154.136 141.98.255.84 185.65.135.82 185.213.154.138 141.98.255.92 185.213.154.139 193.138.218.131 185.213.154.140 185.213.154.134 141.98.255.85 141.98.255.90 185.213.154.133 185.213.154.135 185.213.154.137 141.98.255.91 185.213.154.141 45.83.220.92 193.138.218.132,udp,1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301 1301,
Singapore (UDP),146.70.199.2 146.70.199.66,udp,1197 1197,
United States (UDP),66.115.180.229 45.134.140.156 169.150.203.54 198.54.130.34 69.4.234.133 69.4.234.135 198.54.131.34 69.4.234.132 146.70.185.66 198.54.135.162 146.70.168.2 66.115.180.226 45.134.140.169 198.44.136.194 198.54.131.66 146.70.172.194 66.115.180.230 174.127.113.6 146.70.183.66 185.156.46.182 174.127.113.4 146.70.172.130 198.44.136.130 146.70.211.194 68.235.43.34 174.127.113.5 198.54.134.66 174.127.113.3 69.4.234.134 146.70.166.2 68.235.43.98 198.54.130.50 198.54.133.66 146.70.172.66 198.44.129.162 198.54.135.194 146.70.185.130 146.70.171.194 198.44.136.162 198.54.133.34 198.44.128.226 69.4.234.136 66.115.180.227 146.70.177.66 198.44.129.130 69.4.234.137 146.70.187.194 198.54.130.66 198.44.128.98 174.127.113.7 146.70.165.66 146.70.166.66 66.115.180.228 169.150.203.41 185.156.46.169 146.70.168.194 146.70.174.2 198.54.134.34 68.235.43.66,udp,1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196 1196,
